2025-06-27T19:23:33.380712, avg_wind=1.31, samples=128
2025-06-27T19:28:35.035982, avg_wind=1.61, samples=128
2025-06-27T19:33:36.599403, avg_wind=1.47, samples=128
2025-06-27T19:38:38.242579, avg_wind=1.21, samples=128
2025-06-27T19:43:39.821545, avg_wind=1.35, samples=128
2025-06-27T19:48:41.456200, avg_wind=1.48, samples=128
2025-06-27T19:53:43.031509, avg_wind=0.93, samples=128
2025-06-27T19:58:44.665305, avg_wind=0.97, samples=128
2025-06-27T20:03:46.271345, avg_wind=1.47, samples=128
2025-06-27T20:08:47.859383, avg_wind=1.65, samples=128
2025-06-27T20:13:49.412976, avg_wind=1.20, samples=128
2025-06-27T20:18:51.049896, avg_wind=0.94, samples=128
2025-06-27T20:23:52.593322, avg_wind=1.20, samples=128
2025-06-27T20:28:54.162919, avg_wind=0.61, samples=128
2025-06-27T20:33:55.784751, avg_wind=0.93, samples=128
2025-06-27T20:38:57.424847, avg_wind=0.80, samples=128
2025-06-27T20:43:58.954281, avg_wind=1.10, samples=128
2025-06-27T20:49:00.547445, avg_wind=0.79, samples=128
2025-06-27T20:54:02.112852, avg_wind=1.06, samples=128
2025-06-27T20:59:03.734426, avg_wind=0.89, samples=128
2025-06-27T21:04:05.354268, avg_wind=1.18, samples=128
2025-06-27T21:09:06.965858, avg_wind=0.71, samples=128
2025-06-27T21:14:08.486343, avg_wind=0.96, samples=128
2025-06-27T21:19:10.106961, avg_wind=0.58, samples=128
2025-06-27T21:24:11.702633, avg_wind=0.44, samples=128
2025-06-27T21:29:13.271289, avg_wind=0.49, samples=128
2025-06-27T21:34:14.861334, avg_wind=0.22, samples=128
2025-06-27T21:39:16.417970, avg_wind=0.36, samples=128
2025-06-27T21:44:17.994825, avg_wind=0.22, samples=128
2025-06-27T21:49:19.546381, avg_wind=0.62, samples=128
2025-06-27T21:54:21.123057, avg_wind=0.06, samples=128
2025-06-27T21:59:22.693503, avg_wind=0.15, samples=128
2025-06-27T22:04:24.293765, avg_wind=0.26, samples=128
2025-06-27T22:09:25.874880, avg_wind=0.02, samples=128
2025-06-27T22:14:27.443423, avg_wind=0.02, samples=128
2025-06-27T22:19:29.000388, avg_wind=0.00, samples=128
