2025-07-03T11:17:29.867870, avg_wind=0.09, samples=1
2025-07-03T11:17:33.862478, avg_wind=0.44, samples=1
2025-07-03T11:17:37.864201, avg_wind=0.88, samples=1
2025-07-03T11:17:41.853451, avg_wind=0.61, samples=1
2025-07-03T11:17:45.831744, avg_wind=0.35, samples=1
2025-07-03T11:17:49.841705, avg_wind=0.44, samples=1
2025-07-03T11:17:53.837249, avg_wind=0.79, samples=1
2025-07-03T11:17:57.824886, avg_wind=0.96, samples=1
2025-07-03T11:18:01.819743, avg_wind=0.53, samples=1
2025-07-03T11:18:05.864424, avg_wind=0.79, samples=1
2025-07-03T11:18:09.818262, avg_wind=0.53, samples=1
2025-07-03T11:18:13.841210, avg_wind=0.96, samples=1
2025-07-03T11:18:18.177192, avg_wind=0.61, samples=1
2025-07-03T11:18:22.078697, avg_wind=0.88, samples=1
2025-07-03T11:18:26.062960, avg_wind=0.96, samples=1
2025-07-03T11:18:30.082252, avg_wind=0.61, samples=1
2025-07-03T11:18:34.052427, avg_wind=0.88, samples=1
2025-07-03T11:18:38.072024, avg_wind=0.35, samples=1
2025-07-03T11:18:42.165410, avg_wind=2.80, samples=1
2025-07-03T11:18:46.193204, avg_wind=2.98, samples=1
2025-07-03T11:18:50.093774, avg_wind=2.27, samples=1
2025-07-03T11:18:54.148280, avg_wind=1.40, samples=1
2025-07-03T11:18:58.109793, avg_wind=0.61, samples=1
2025-07-03T11:19:02.102467, avg_wind=2.27, samples=1
2025-07-03T11:19:06.109076, avg_wind=1.40, samples=1
2025-07-03T11:19:10.428577, avg_wind=0.61, samples=1
2025-07-03T11:19:14.327608, avg_wind=0.79, samples=1
2025-07-03T11:19:18.355487, avg_wind=1.31, samples=1
2025-07-03T11:19:22.409662, avg_wind=1.31, samples=1
2025-07-03T11:19:26.350765, avg_wind=1.40, samples=1
2025-07-03T11:19:30.410041, avg_wind=1.57, samples=1
2025-07-03T11:19:34.370797, avg_wind=2.10, samples=1
2025-07-03T11:19:38.330184, avg_wind=1.66, samples=1
2025-07-03T11:19:42.355112, avg_wind=0.44, samples=1
2025-07-03T11:19:46.354390, avg_wind=0.00, samples=1
2025-07-03T11:19:50.366292, avg_wind=0.09, samples=1
2025-07-03T11:19:54.497716, avg_wind=0.00, samples=1
2025-07-03T11:19:58.594462, avg_wind=0.09, samples=1
2025-07-03T11:20:02.592807, avg_wind=0.26, samples=1
2025-07-03T11:20:06.564338, avg_wind=0.00, samples=1
2025-07-03T11:20:10.566361, avg_wind=0.00, samples=1
2025-07-03T11:20:14.608795, avg_wind=0.00, samples=1
2025-07-03T11:20:18.606964, avg_wind=0.00, samples=1
2025-07-03T11:20:22.646172, avg_wind=0.00, samples=1
2025-07-03T11:20:26.615889, avg_wind=0.00, samples=1
2025-07-03T11:20:30.629445, avg_wind=0.00, samples=1
2025-07-03T11:20:34.584868, avg_wind=0.00, samples=1
2025-07-03T11:20:38.576217, avg_wind=0.00, samples=1
2025-07-03T11:20:42.598888, avg_wind=0.00, samples=1
2025-07-03T11:20:46.915174, avg_wind=0.00, samples=1
2025-07-03T11:20:50.813339, avg_wind=0.00, samples=1
2025-07-03T11:20:54.912892, avg_wind=0.09, samples=1
2025-07-03T11:20:58.880857, avg_wind=0.53, samples=1
2025-07-03T11:21:02.867599, avg_wind=1.05, samples=1
2025-07-03T11:21:06.869202, avg_wind=0.70, samples=1
2025-07-03T11:21:10.968877, avg_wind=0.35, samples=1
2025-07-03T11:21:15.102792, avg_wind=0.53, samples=1
2025-07-03T11:21:19.015577, avg_wind=0.70, samples=1
2025-07-03T11:21:23.079812, avg_wind=2.71, samples=1
2025-07-03T11:21:27.144811, avg_wind=0.96, samples=1
2025-07-03T11:21:31.162597, avg_wind=0.96, samples=1
2025-07-03T11:21:35.104916, avg_wind=1.40, samples=1
2025-07-03T11:21:40.258837, avg_wind=0.70, samples=1
2025-07-03T11:21:44.338937, avg_wind=0.61, samples=1
2025-07-03T11:21:48.349008, avg_wind=0.70, samples=1
2025-07-03T11:21:52.363917, avg_wind=1.84, samples=1
2025-07-03T11:21:56.429315, avg_wind=1.66, samples=1
2025-07-03T11:22:00.345184, avg_wind=0.96, samples=1
2025-07-03T11:22:04.418643, avg_wind=0.88, samples=1
2025-07-03T11:22:08.332178, avg_wind=1.31, samples=1
2025-07-03T11:22:12.391866, avg_wind=0.61, samples=1
2025-07-03T11:22:16.371934, avg_wind=0.09, samples=1
2025-07-03T11:22:20.387909, avg_wind=0.44, samples=1
2025-07-03T11:22:24.351074, avg_wind=0.44, samples=1
2025-07-03T11:22:28.309441, avg_wind=0.70, samples=1
2025-07-03T11:22:32.363870, avg_wind=2.01, samples=1
2025-07-03T11:22:36.369698, avg_wind=1.84, samples=1
2025-07-03T11:22:40.359294, avg_wind=1.40, samples=1
2025-07-03T11:22:44.318358, avg_wind=2.01, samples=1
2025-07-03T11:22:48.634781, avg_wind=1.31, samples=1
2025-07-03T11:22:52.548087, avg_wind=0.88, samples=1
2025-07-03T11:22:56.602238, avg_wind=0.88, samples=1
2025-07-03T11:23:00.742807, avg_wind=1.31, samples=1
2025-07-03T11:23:04.841994, avg_wind=2.10, samples=1
