2025-07-03T09:40:05.618597, avg_flow=0.0933, samples=1
2025-07-03T09:40:18.325579, avg_flow=0.0733, samples=1
2025-07-03T09:40:30.828881, avg_flow=0.0533, samples=1
2025-07-03T09:40:43.369185, avg_flow=0.0467, samples=1
2025-07-03T09:40:56.081748, avg_flow=0.0467, samples=1
2025-07-03T09:41:08.609956, avg_flow=0.0489, samples=1
2025-07-03T09:41:21.361253, avg_flow=0.0489, samples=1
2025-07-03T09:41:34.064477, avg_flow=0.0489, samples=1
2025-07-03T09:41:46.665921, avg_flow=0.0489, samples=1
2025-07-03T09:41:59.360670, avg_flow=0.0489, samples=1
2025-07-03T09:42:12.129855, avg_flow=0.0444, samples=1
2025-07-03T09:42:24.894057, avg_flow=0.0467, samples=1
2025-07-03T09:42:37.577505, avg_flow=0.0489, samples=1
2025-07-03T09:42:50.150999, avg_flow=0.0489, samples=1
2025-07-03T09:43:02.887543, avg_flow=0.0489, samples=1
2025-07-03T09:43:15.657943, avg_flow=0.0444, samples=1
2025-07-03T09:43:28.319050, avg_flow=0.0467, samples=1
2025-07-03T09:43:40.811862, avg_flow=0.0489, samples=1
2025-07-03T09:43:53.342622, avg_flow=0.0489, samples=1
2025-07-03T09:44:05.831984, avg_flow=0.0467, samples=1
2025-07-03T09:44:18.616250, avg_flow=0.0489, samples=1
2025-07-03T09:44:31.328681, avg_flow=0.0467, samples=1
2025-07-03T09:44:43.853004, avg_flow=0.0489, samples=1
2025-07-03T09:44:56.576757, avg_flow=0.0467, samples=1
2025-07-03T09:45:09.349831, avg_flow=0.0133, samples=1
2025-07-03T09:45:22.138260, avg_flow=0.0133, samples=1
2025-07-03T09:45:34.853683, avg_flow=0.0156, samples=1
2025-07-03T09:45:47.947636, avg_flow=0.0133, samples=1
2025-07-03T09:46:00.617472, avg_flow=0.0178, samples=1
2025-07-03T09:46:13.329451, avg_flow=0.0200, samples=1
2025-07-03T09:46:26.151972, avg_flow=0.0200, samples=1
2025-07-03T09:46:38.849290, avg_flow=0.0200, samples=1
2025-07-03T09:46:51.359650, avg_flow=0.0200, samples=1
2025-07-03T09:47:04.112010, avg_flow=0.0178, samples=1
2025-07-03T09:47:16.878522, avg_flow=0.0178, samples=1
2025-07-03T09:47:29.638882, avg_flow=0.0178, samples=1
2025-07-03T09:47:42.352430, avg_flow=0.0178, samples=1
2025-07-03T09:47:54.847841, avg_flow=0.0178, samples=1
2025-07-03T09:48:07.567913, avg_flow=0.0178, samples=1
2025-07-03T09:48:20.058629, avg_flow=0.0178, samples=1
2025-07-03T09:48:32.707076, avg_flow=0.0156, samples=1
2025-07-03T09:48:45.649235, avg_flow=0.0178, samples=1
2025-07-03T09:48:58.344982, avg_flow=0.0178, samples=1
2025-07-03T09:49:11.124123, avg_flow=0.0178, samples=1
2025-07-03T09:49:23.847323, avg_flow=0.0178, samples=1
2025-07-03T09:49:36.322104, avg_flow=0.0178, samples=1
2025-07-03T09:49:49.102727, avg_flow=0.0178, samples=1
2025-07-03T09:50:01.912936, avg_flow=0.0178, samples=1
2025-07-03T09:50:05.972665, avg_flow=0.0000, samples=1
2025-07-03T09:50:19.017404, avg_flow=0.0000, samples=1
2025-07-03T09:50:31.537860, avg_flow=0.0000, samples=1
2025-07-03T09:50:44.121332, avg_flow=0.0000, samples=1
2025-07-03T09:50:56.834188, avg_flow=0.0000, samples=1
2025-07-03T09:51:09.591631, avg_flow=0.0000, samples=1
2025-07-03T09:51:22.321277, avg_flow=0.0000, samples=1
2025-07-03T09:51:34.879904, avg_flow=0.0000, samples=1
2025-07-03T09:51:47.591223, avg_flow=0.0000, samples=1
2025-07-03T09:52:00.062024, avg_flow=0.0000, samples=1
2025-07-03T09:52:12.868962, avg_flow=0.0000, samples=1
2025-07-03T09:52:25.613521, avg_flow=0.0000, samples=1
2025-07-03T09:52:38.360829, avg_flow=0.0000, samples=1
2025-07-03T09:52:51.189631, avg_flow=0.0000, samples=1
2025-07-03T09:53:03.844060, avg_flow=0.0000, samples=1
2025-07-03T09:53:16.347504, avg_flow=0.0000, samples=1
2025-07-03T09:53:29.536403, avg_flow=0.0000, samples=1
2025-07-03T09:53:42.084779, avg_flow=0.0000, samples=1
2025-07-03T09:53:54.611267, avg_flow=0.0000, samples=1
2025-07-03T09:54:07.342587, avg_flow=0.0000, samples=1
2025-07-03T09:54:19.866083, avg_flow=0.0000, samples=1
2025-07-03T09:54:32.582735, avg_flow=0.0000, samples=1
2025-07-03T09:54:45.355430, avg_flow=0.0000, samples=1
2025-07-03T09:54:53.996792, avg_flow=0.0000, samples=1
2025-07-03T09:59:48.608132, avg_flow=0.0000, samples=1
2025-07-03T10:00:04.120591, avg_flow=0.0185, samples=3
2025-07-03T10:00:10.980029, avg_flow=0.0200, samples=3
2025-07-03T10:00:17.834372, avg_flow=0.0170, samples=3
2025-07-03T10:00:24.688690, avg_flow=0.0178, samples=3
2025-07-03T10:00:31.545639, avg_flow=0.0170, samples=3
2025-07-03T10:00:38.407330, avg_flow=0.0178, samples=3
2025-07-03T10:00:45.264576, avg_flow=0.0170, samples=3
2025-07-03T10:00:52.133377, avg_flow=0.0170, samples=3
2025-07-03T10:00:58.994840, avg_flow=0.0170, samples=3
2025-07-03T10:01:05.846914, avg_flow=0.0178, samples=3
2025-07-03T10:01:12.998386, avg_flow=0.0170, samples=3
2025-07-03T10:01:20.045683, avg_flow=0.0156, samples=1
2025-07-03T10:01:30.966034, avg_flow=0.0178, samples=1
2025-07-03T10:01:37.819823, avg_flow=0.0170, samples=3
2025-07-03T10:01:44.681641, avg_flow=0.0170, samples=3
2025-07-03T10:01:51.533613, avg_flow=0.0163, samples=3
2025-07-03T10:01:58.389168, avg_flow=0.0178, samples=3
2025-07-03T10:02:05.241497, avg_flow=0.0178, samples=3
2025-07-03T10:02:12.401352, avg_flow=0.0178, samples=3
2025-07-03T10:02:19.253982, avg_flow=0.0170, samples=3
2025-07-03T10:02:26.111383, avg_flow=0.0170, samples=3
2025-07-03T10:02:32.963104, avg_flow=0.0178, samples=3
2025-07-03T10:02:39.815691, avg_flow=0.0170, samples=3
2025-07-03T10:02:46.966249, avg_flow=0.0156, samples=3
2025-07-03T10:02:53.824949, avg_flow=0.0178, samples=3
2025-07-03T10:03:00.680013, avg_flow=0.0170, samples=3
2025-07-03T10:03:07.536076, avg_flow=0.0178, samples=3
2025-07-03T10:03:13.811085, avg_flow=0.0178, samples=1
2025-07-03T10:03:24.699308, avg_flow=0.0133, samples=1
2025-07-03T10:03:31.522494, avg_flow=0.0185, samples=3
2025-07-03T10:03:38.640547, avg_flow=0.0178, samples=3
2025-07-03T10:03:45.458632, avg_flow=0.0178, samples=3
2025-07-03T10:03:52.276322, avg_flow=0.0170, samples=3
2025-07-03T10:03:59.093337, avg_flow=0.0163, samples=3
2025-07-03T10:04:05.909647, avg_flow=0.0178, samples=3
2025-07-03T10:04:12.725191, avg_flow=0.0170, samples=3
