[MQTT][2025-07-04 03:52:51] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:52:58] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:58] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:53:03] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:03] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:53:10] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:10] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:53:15] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:15] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:53:23] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:23] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:53:28] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:28] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:53:35] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:35] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:53:40] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:40] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:53:47] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:47] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:53:52] MQTT connect error: timed out
[MQTT][2025-07-04 03:53:52] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:54:00] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:00] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:54:05] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:05] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:54:12] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:12] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:54:17] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:17] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:54:24] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:24] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:54:29] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:29] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:54:36] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:36] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:54:41] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:41] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:54:49] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:49] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:54:54] MQTT connect error: timed out
[MQTT][2025-07-04 03:54:54] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:55:01] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:01] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:55:06] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:06] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:55:13] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:13] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:55:18] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:18] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:55:26] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:26] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:55:31] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:31] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:55:38] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:38] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:55:43] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:43] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:55:50] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:50] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:55:56] MQTT connect error: timed out
[MQTT][2025-07-04 03:55:56] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:56:03] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:03] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:56:08] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:08] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:56:21] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:21] MQTT publish failed: rc=4, topic=sensors/plant
[MQTT][2025-07-04 03:56:29] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:29] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:56:34] MQTT connect error: timed out
